,Output,Time
0,1,2018-06-03 07:48:07
1,1,2018-06-03 07:48:07
2,1,2018-06-03 07:48:07
3,1,2018-06-03 07:48:07
4,1,2018-06-03 07:48:07
5,1,2018-06-03 07:48:07
6,1,2018-06-03 07:48:07
7,1,2018-06-03 07:48:07
8,1,2018-06-03 07:48:07
9,1,2018-06-03 07:48:07
10,1,2018-06-03 07:48:07
11,1,2018-06-03 07:48:07
12,1,2018-06-03 07:48:07
13,1,2018-06-03 07:48:07
14,1,2018-06-03 07:48:07
15,1,2018-06-03 07:48:07
16,1,2018-06-03 07:48:07
17,1,2018-06-03 07:48:07
18,1,2018-06-03 07:48:07
19,1,2018-06-03 07:48:07
20,1,2018-06-03 07:48:07
21,1,2018-06-03 07:48:07
22,1,2018-06-03 07:48:07
